NOMBRE;NUMEROCAMISETA;POSICION;NACIONALIDAD;EDAD;NOMBREEQUIPO;PIERNAHABIL;ALTURA;GOLES;PARTIDOSJUGADOS;ASISTENCIAS;REGATES;PORTERIASACERO;PARADAS;GOLESENCAJADOS;VALORDEMERCADO
Éder Militão;3;DEFENSA;Brasil;26;Real Madrid;DERECHA;186;0;28;2;8;0;0;0;50.0
Andriy Lunin;13;PORTERO;Ucrania;25;Real Madrid;DERECHA;191;0;18;0;0;7;60;15;25.0
David Alaba;4;DEFENSA;Austria;32;Real Madrid;IZQUIERDA;180;1;20;3;10;0;0;0;30.0
Eduardo Camavinga;12;CENTROCAMPISTA;Francia;22;Real Madrid;IZQUIERDA;182;1;35;4;45;0;0;0;100.0
Rodrygo;11;DELANTERO;Brasil;23;Real Madrid;DERECHA;171;15;40;7;85;0;0;0;100.0
Joselu;14;DELANTERO;España;34;Real Madrid;DERECHA;192;10;30;3;2;0;0;0;5.0
Luka Modrić;10;CENTROCAMPISTA;Croacia;39;Real Madrid;DERECHA;172;2;30;8;20;0;0;0;8.0
Antonio Rüdiger;22;DEFENSA;Alemania;31;Real Madrid;DERECHA;190;2;38;0;5;0;0;0;40.0
Fede Valverde;15;CENTROCAMPISTA;Uruguay;26;Real Madrid;DERECHA;182;5;42;7;50;0;0;0;100.0
Kylian Mbappé;9;DELANTERO;Francia;25;Real Madrid;DERECHA;178;30;35;12;100;0;0;0;200.0
Ferland Mendy;23;DEFENSA;Francia;29;Real Madrid;IZQUIERDA;180;0;25;3;30;0;0;0;25.0
Endrick;16;DELANTERO;Brasil;18;Real Madrid;IZQUIERDA;173;1;5;0;5;0;0;0;20.0
Aurélien Tchouaméni;18;CENTROCAMPISTA;Francia;24;Real Madrid;DERECHA;187;3;33;2;15;0;0;0;90.0
Nacho Fernández;6;DEFENSA;España;34;Real Madrid;DERECHA;180;1;20;0;5;0;0;0;4.0
Brahim Díaz;21;DELANTERO;España;25;Real Madrid;DERECHA;171;8;30;4;40;0;0;0;25.0
Arda Güler;24;CENTROCAMPISTA;Turquía;19;Real Madrid;IZQUIERDA;176;3;10;1;15;0;0;0;20.0
Jan Oblak;13;PORTERO;Eslovenia;31;Atlético de Madrid;DERECHA;188;0;35;0;0;15;98;28;35.0
Nahuel Molina;16;DEFENSA;Argentina;26;Atlético de Madrid;DERECHA;175;4;32;6;25;0;0;0;35.0
Koke;6;CENTROCAMPISTA;España;32;Atlético de Madrid;DERECHA;177;2;30;7;15;0;0;0;15.0
Antoine Griezmann;7;DELANTERO;Francia;33;Atlético de Madrid;IZQUIERDA;176;18;40;10;50;0;0;0;40.0
José María Giménez;2;DEFENSA;Uruguay;29;Atlético de Madrid;DERECHA;185;1;25;0;5;0;0;0;30.0
Horatiu Moldovan;1;PORTERO;Rumanía;26;Atlético de Madrid;DERECHA;188;0;3;0;0;1;10;5;5.0
Stefan Savić;15;DEFENSA;Montenegro;33;Atlético de Madrid;DERECHA;187;0;22;0;2;0;0;0;8.0
Pablo Barrios;24;CENTROCAMPISTA;España;21;Atlético de Madrid;DERECHA;181;1;25;3;20;0;0;0;30.0
Álvaro Morata;19;DELANTERO;España;32;Atlético de Madrid;DERECHA;189;15;35;4;10;0;0;0;20.0
Memphis Depay;9;DELANTERO;Países Bajos;30;Atlético de Madrid;DERECHA;176;5;15;2;25;0;0;0;15.0
Rodrigo De Paul;5;CENTROCAMPISTA;Argentina;30;Atlético de Madrid;DERECHA;178;3;34;5;35;0;0;0;30.0
Reinildo Mandava;23;DEFENSA;Mozambique;30;Atlético de Madrid;IZQUIERDA;180;0;20;1;10;0;0;0;15.0
Axel Witsel;20;CENTROCAMPISTA;Bélgica;35;Atlético de Madrid;DERECHA;186;0;30;1;5;0;0;0;5.0
Samuel Lino;12;DELANTERO;Brasil;25;Atlético de Madrid;DERECHA;178;6;30;5;40;0;0;0;25.0
Mario Hermoso;22;DEFENSA;España;29;Atlético de Madrid;IZQUIERDA;184;2;30;1;10;0;0;0;20.0
Ángel Correa;10;DELANTERO;Argentina;29;Atlético de Madrid;DERECHA;171;9;38;5;30;0;0;0;18.0
Saúl Ñíguez;8;CENTROCAMPISTA;España;33;Atlético de Madrid;IZQUIERDA;184;1;25;2;15;0;0;0;10.0
César Azpilicueta;3;DEFENSA;España;35;Atlético de Madrid;DERECHA;178;0;20;2;5;0;0;0;4.0
Marcos Llorente;14;CENTROCAMPISTA;España;29;Atlético de Madrid;DERECHA;184;6;36;8;40;0;0;0;25.0
Thomas Lemar;11;CENTROCAMPISTA;Francia;29;Atlético de Madrid;IZQUIERDA;170;1;15;3;20;0;0;0;10.0
Marko Dmitrović;1;PORTERO;Serbia;32;Sevilla FC;DERECHA;190;0;15;0;0;4;45;20;2.0
Sergio Ramos;4;DEFENSA;España;38;Sevilla FC;DERECHA;184;3;28;0;5;0;0;0;4.0
Jesús Navas;16;CENTROCAMPISTA;España;39;Sevilla FC;DERECHA;172;1;30;7;25;0;0;0;3.0
Youssef En-Nesyri;15;DELANTERO;Marruecos;27;Sevilla FC;DERECHA;188;14;35;2;8;0;0;0;20.0
Loïc Badé;22;DEFENSA;Francia;24;Sevilla FC;DERECHA;191;1;25;0;3;0;0;0;15.0
Alberto Flores;31;PORTERO;España;21;Sevilla FC;DERECHA;188;0;2;0;0;0;0;2;0.5
Tanguy Nianzou;3;DEFENSA;Francia;22;Sevilla FC;DERECHA;187;0;10;0;1;0;0;0;10.0
Oliver Torres;21;CENTROCAMPISTA;España;30;Sevilla FC;IZQUIERDA;178;1;25;4;20;0;0;0;8.0
Rafa Mir;12;DELANTERO;España;27;Sevilla FC;DERECHA;191;4;20;1;5;0;0;0;10.0
Dodi Lukebakio;19;DELANTERO;Bélgica;27;Sevilla FC;DERECHA;187;5;25;3;35;0;0;0;12.0
Joan Jordán;8;CENTROCAMPISTA;España;30;Sevilla FC;DERECHA;184;0;20;2;10;0;0;0;6.0
Marcos Acuña;17;DEFENSA;Argentina;33;Sevilla FC;IZQUIERDA;172;1;22;4;25;0;0;0;8.0
Lucas Ocampos;5;CENTROCAMPISTA;Argentina;30;Sevilla FC;DERECHA;187;6;30;4;30;0;0;0;12.0
Erik Lamela;11;DELANTERO;Argentina;32;Sevilla FC;IZQUIERDA;181;3;18;2;20;0;0;0;5.0
Nemanja Gudelj;6;DEFENSA;Serbia;33;Sevilla FC;DERECHA;187;2;30;1;5;0;0;0;5.0
Alejo Véliz;20;DELANTERO;Argentina;21;Sevilla FC;DERECHA;185;1;5;0;3;0;0;0;7.0
Héctor Herrera;14;CENTROCAMPISTA;México;34;Sevilla FC;DERECHA;175;0;10;1;5;0;0;0;2.0
Federico Gattoni;2;DEFENSA;Argentina;25;Sevilla FC;DERECHA;185;0;8;0;2;0;0;0;5.0
Suso;7;DELANTERO;España;31;Sevilla FC;IZQUIERDA;178;2;25;5;35;0;0;0;8.0
Adrià Pedrosa;24;DEFENSA;España;26;Sevilla FC;IZQUIERDA;178;1;20;3;15;0;0;0;8.0
Álex Remiro;1;PORTERO;España;29;Real Sociedad;DERECHA;192;0;38;0;0;14;100;30;25.0
Robin Le Normand;24;DEFENSA;Francia;28;Real Sociedad;DERECHA;187;2;35;0;5;0;0;0;40.0
Brais Méndez;23;CENTROCAMPISTA;España;27;Real Sociedad;IZQUIERDA;188;8;30;7;35;0;0;0;30.0
Mikel Oyarzabal;10;DELANTERO;España;27;Real Sociedad;IZQUIERDA;181;14;33;5;30;0;0;0;45.0
Hamari Traoré;2;DEFENSA;Mali;32;Real Sociedad;DERECHA;175;1;30;4;20;0;0;0;8.0
Unai Marrero;13;PORTERO;España;23;Real Sociedad;DERECHA;187;0;5;0;0;1;15;5;2.0
Kieran Tierney;17;DEFENSA;Escocia;27;Real Sociedad;IZQUIERDA;178;0;15;2;15;0;0;0;18.0
Martín Zubimendi;4;CENTROCAMPISTA;España;25;Real Sociedad;DERECHA;181;4;38;2;20;0;0;0;60.0
André Silva;21;DELANTERO;Portugal;29;Real Sociedad;DERECHA;185;5;20;2;5;0;0;0;15.0
Takefusa Kubo;14;DELANTERO;Japón;23;Real Sociedad;IZQUIERDA;173;7;35;6;65;0;0;0;50.0
Arsen Zakharyan;12;CENTROCAMPISTA;Rusia;21;Real Sociedad;DERECHA;181;1;25;3;25;0;0;0;15.0
Igor Zubeldia;5;DEFENSA;España;27;Real Sociedad;DERECHA;181;1;30;0;5;0;0;0;20.0
Mikel Merino;8;CENTROCAMPISTA;España;28;Real Sociedad;DERECHA;189;5;35;8;30;0;0;0;50.0
Sadiq Umar;19;DELANTERO;Nigeria;27;Real Sociedad;IZQUIERDA;192;3;10;1;10;0;0;0;15.0
Jon Pacheco;20;DEFENSA;España;23;Real Sociedad;IZQUIERDA;184;0;15;0;3;0;0;0;10.0
Sheraldo Becker;18;DELANTERO;Surinam;29;Real Sociedad;DERECHA;180;2;15;1;20;0;0;0;10.0
Beñat Turrientes;16;CENTROCAMPISTA;España;22;Real Sociedad;DERECHA;178;0;20;1;10;0;0;0;10.0
Aritz Elustondo;3;DEFENSA;España;30;Real Sociedad;DERECHA;182;1;28;1;5;0;0;0;15.0
Carlos Fernández;9;DELANTERO;España;28;Real Sociedad;DERECHA;185;1;10;0;3;0;0;0;5.0
Javi Galán;25;DEFENSA;España;30;Real Sociedad;IZQUIERDA;169;0;20;3;25;0;0;0;8.0
Rui Silva;13;PORTERO;Portugal;30;Real Betis;DERECHA;188;0;25;0;0;8;70;28;10.0
Germán Pezzella;6;DEFENSA;Argentina;33;Real Betis;DERECHA;187;1;30;0;3;0;0;0;5.0
Isco;22;CENTROCAMPISTA;España;32;Real Betis;DERECHA;176;8;35;7;55;0;0;0;8.0
Willian José;12;DELANTERO;Brasil;33;Real Betis;DERECHA;186;10;32;2;10;0;0;0;7.0
Héctor Bellerín;2;DEFENSA;España;29;Real Betis;DERECHA;178;0;25;3;20;0;0;0;10.0
Claudio Bravo;1;PORTERO;Chile;41;Real Betis;DERECHA;184;0;10;0;0;2;25;10;0.5
Marc Bartra;5;DEFENSA;España;33;Real Betis;DERECHA;183;1;15;0;3;0;0;0;3.0
Guido Rodríguez;5;CENTROCAMPISTA;Argentina;30;Real Betis;DERECHA;185;1;30;1;5;0;0;0;20.0
Ayoze Pérez;10;DELANTERO;España;31;Real Betis;DERECHA;178;7;35;5;35;0;0;0;12.0
Assane Diao;38;DELANTERO;España;19;Real Betis;DERECHA;187;4;20;1;20;0;0;0;15.0
Johnny Cardoso;4;CENTROCAMPISTA;EE. UU.;23;Real Betis;DERECHA;186;0;25;1;10;0;0;0;15.0
Chadi Riad;28;DEFENSA;Marruecos;21;Real Betis;IZQUIERDA;186;0;28;0;5;0;0;0;15.0
Nabil Fekir;8;CENTROCAMPISTA;Francia;31;Real Betis;IZQUIERDA;173;3;20;4;40;0;0;0;12.0
Cédric Bakambu;11;DELANTERO;RD Congo;33;Real Betis;DERECHA;183;2;10;0;3;0;0;0;4.0
Youssouf Sabaly;24;DEFENSA;Senegal;31;Real Betis;DERECHA;176;0;18;1;10;0;0;0;5.0
Abner Vinícius;20;DEFENSA;Brasil;24;Real Betis;IZQUIERDA;181;1;25;3;25;0;0;0;12.0
Marc Roca;15;CENTROCAMPISTA;España;27;Real Betis;IZQUIERDA;184;2;30;3;15;0;0;0;10.0
Aitor Ruibal;24;DEFENSA;España;28;Real Betis;DERECHA;176;1;28;4;25;0;0;0;8.0
Ez Abde;7;DELANTERO;Marruecos;23;Real Betis;DERECHA;177;5;28;4;45;0;0;0;15.0
Rodri Sánchez;17;CENTROCAMPISTA;España;24;Real Betis;IZQUIERDA;168;1;20;3;25;0;0;0;8.0
Filip Jörgensen;13;PORTERO;Suecia;22;Villarreal CF;DERECHA;190;0;30;0;0;8;85;40;15.0
Raúl Albiol;3;DEFENSA;España;39;Villarreal CF;DERECHA;190;1;25;0;2;0;0;0;2.0
Dani Parejo;10;CENTROCAMPISTA;España;35;Villarreal CF;DERECHA;180;3;35;9;15;0;0;0;5.0
Gerard Moreno;7;DELANTERO;España;32;Villarreal CF;IZQUIERDA;180;15;30;5;20;0;0;0;15.0
Juan Foyth;8;DEFENSA;Argentina;26;Villarreal CF;DERECHA;187;1;20;2;10;0;0;0;15.0
Pepe Reina;1;PORTERO;España;42;Villarreal CF;DERECHA;188;0;8;0;0;1;15;10;0.5
Aïssa Mandi;23;DEFENSA;Argelia;33;Villarreal CF;DERECHA;180;0;15;0;3;0;0;0;3.0
Álex Baena;16;CENTROCAMPISTA;España;23;Villarreal CF;DERECHA;174;5;35;10;50;0;0;0;30.0
Alexander Sørloth;11;DELANTERO;Noruega;29;Villarreal CF;IZQUIERDA;194;12;30;4;5;0;0;0;20.0
Gonçalo Guedes;17;DELANTERO;Portugal;28;Villarreal CF;DERECHA;179;4;18;2;30;0;0;0;10.0
Étienne Capoue;22;CENTROCAMPISTA;Francia;36;Villarreal CF;DERECHA;189;1;25;1;5;0;0;0;2.0
Jorge Cuenca;5;DEFENSA;España;25;Villarreal CF;IZQUIERDA;189;0;20;0;3;0;0;0;10.0
Francis Coquelin;19;CENTROCAMPISTA;Francia;33;Villarreal CF;DERECHA;178;0;15;0;3;0;0;0;3.0
José Luis Morales;15;DELANTERO;España;37;Villarreal CF;IZQUIERDA;181;5;28;3;25;0;0;0;2.0
Alfonso Pedraza;24;DEFENSA;España;28;Villarreal CF;IZQUIERDA;184;1;25;3;20;0;0;0;8.0
Bertrand Traoré;26;DELANTERO;Burkina Faso;29;Villarreal CF;IZQUIERDA;181;1;10;0;10;0;0;0;5.0
Manu Trigueros;14;CENTROCAMPISTA;España;32;Villarreal CF;DERECHA;178;0;15;2;10;0;0;0;3.0
Kiko Femenía;2;DEFENSA;España;33;Villarreal CF;DERECHA;176;0;20;1;5;0;0;0;3.0
Yéremy Pino;21;DELANTERO;España;22;Villarreal CF;DERECHA;172;3;20;3;35;0;0;0;25.0
Dani Raba;18;DELANTERO;España;29;Villarreal CF;IZQUIERDA;181;1;10;1;5;0;0;0;2.0
Unai Simón;26;PORTERO;España;27;Athletic Club;DERECHA;190;0;38;0;0;17;102;30;30.0
Yeray Álvarez;5;DEFENSA;España;29;Athletic Club;DERECHA;183;1;25;0;3;0;0;0;20.0
Oihan Sancet;8;CENTROCAMPISTA;España;24;Athletic Club;DERECHA;188;6;35;4;30;0;0;0;35.0
Iñaki Williams;11;DELANTERO;Ghana;30;Athletic Club;DERECHA;186;12;38;5;45;0;0;0;25.0
Aitor Paredes;4;DEFENSA;España;24;Athletic Club;IZQUIERDA;186;0;30;0;5;0;0;0;20.0
Julen Agirrezabala;13;PORTERO;España;23;Athletic Club;DERECHA;185;0;10;0;0;3;30;8;10.0
Daniel Vivian;3;DEFENSA;España;25;Athletic Club;DERECHA;184;2;35;0;5;0;0;0;25.0
Mikel Vesga;6;CENTROCAMPISTA;España;31;Athletic Club;IZQUIERDA;190;1;30;2;10;0;0;0;8.0
Gorka Guruzeta;17;DELANTERO;España;28;Athletic Club;DERECHA;188;8;30;3;10;0;0;0;10.0
Nico Williams;7;DELANTERO;España;22;Athletic Club;DERECHA;181;6;35;12;60;0;0;0;60.0
Dani García;14;CENTROCAMPISTA;España;34;Athletic Club;DERECHA;180;0;20;1;3;0;0;0;3.0
Yuri Berchiche;18;DEFENSA;España;34;Athletic Club;IZQUIERDA;181;1;25;2;15;0;0;0;4.0
Ander Herrera;21;CENTROCAMPISTA;España;35;Athletic Club;DERECHA;182;0;15;1;5;0;0;0;2.0
Asier Villalibre;20;DELANTERO;España;27;Athletic Club;DERECHA;186;4;20;1;5;0;0;0;5.0
Óscar de Marcos;18;DEFENSA;España;35;Athletic Club;DERECHA;182;1;30;3;10;0;0;0;3.0
Raúl García;22;DELANTERO;España;38;Athletic Club;DERECHA;184;2;15;0;2;0;0;0;1.0
Unai Gómez;30;CENTROCAMPISTA;España;21;Athletic Club;DERECHA;177;1;15;1;10;0;0;0;8.0
Iñigo Lekue;15;DEFENSA;España;31;Athletic Club;DERECHA;178;0;20;2;10;0;0;0;4.0
Alex Berenguer;10;DELANTERO;España;29;Athletic Club;IZQUIERDA;175;5;30;4;30;0;0;0;12.0
Jon Morcillo;19;DELANTERO;España;26;Athletic Club;IZQUIERDA;181;1;5;0;3;0;0;0;2.0
Giorgi Mamardashvili;25;PORTERO;Georgia;24;Valencia CF;DERECHA;199;0;38;0;0;12;110;45;35.0
José Gayà;14;DEFENSA;España;29;Valencia CF;IZQUIERDA;172;1;30;6;30;0;0;0;20.0
Pepelu;10;CENTROCAMPISTA;España;26;Valencia CF;DERECHA;180;5;35;4;20;0;0;0;18.0
Hugo Duro;9;DELANTERO;España;25;Valencia CF;DERECHA;180;13;36;3;10;0;0;0;16.0
Cristhian Mosquera;3;DEFENSA;España;20;Valencia CF;DERECHA;188;0;30;0;5;0;0;0;15.0
Jaume Doménech;1;PORTERO;España;34;Valencia CF;DERECHA;185;0;5;0;0;1;10;5;1.0
Mouctar Diakhaby;4;DEFENSA;Guinea;28;Valencia CF;DERECHA;190;1;25;0;3;0;0;0;8.0
Javi Guerra;8;CENTROCAMPISTA;España;21;Valencia CF;DERECHA;185;4;30;2;25;0;0;0;20.0
Sergi Canós;7;DELANTERO;España;27;Valencia CF;DERECHA;177;1;20;2;15;0;0;0;5.0
Diego López;16;DELANTERO;España;22;Valencia CF;IZQUIERDA;182;3;25;3;30;0;0;0;12.0
André Almeida;20;CENTROCAMPISTA;Portugal;24;Valencia CF;DERECHA;180;2;25;3;15;0;0;0;18.0
Gabriel Paulista;5;DEFENSA;Brasil;34;Valencia CF;DERECHA;187;1;20;0;3;0;0;0;3.0
Yunus Musah;22;CENTROCAMPISTA;EE. UU.;22;Valencia CF;DERECHA;178;0;15;1;15;0;0;0;15.0
Roman Yaremchuk;17;DELANTERO;Ucrania;29;Valencia CF;DERECHA;190;3;20;1;5;0;0;0;5.0
Thierry Correia;24;DEFENSA;Portugal;25;Valencia CF;DERECHA;177;0;25;3;20;0;0;0;10.0
Alberto Marí;11;DELANTERO;España;23;Valencia CF;DERECHA;186;1;10;0;5;0;0;0;8.0
Dimitri Foulquier;2;DEFENSA;Guadalupe;31;Valencia CF;DERECHA;179;0;20;1;5;0;0;0;2.0
Jesús Vázquez;23;DEFENSA;España;21;Valencia CF;IZQUIERDA;180;0;10;1;5;0;0;0;4.0
Fran Pérez;21;DELANTERO;España;22;Valencia CF;DERECHA;180;1;20;2;15;0;0;0;8.0
Cenk Özkacar;15;DEFENSA;Turquía;24;Valencia CF;IZQUIERDA;188;0;15;0;3;0;0;0;6.0
David Soria;13;PORTERO;España;31;Getafe CF;DERECHA;185;0;38;0;0;10;115;50;4.0
Djené Dakonam;2;DEFENSA;Togo;32;Getafe CF;DERECHA;176;0;30;1;5;0;0;0;5.0
Nemanja Maksimović;20;CENTROCAMPISTA;Serbia;29;Getafe CF;DERECHA;188;4;35;2;10;0;0;0;10.0
Borja Mayoral;19;DELANTERO;España;27;Getafe CF;DERECHA;182;15;35;2;5;0;0;0;18.0
Omar Alderete;6;DEFENSA;Paraguay;28;Getafe CF;IZQUIERDA;182;1;30;0;5;0;0;0;8.0
Daniel Fuzato;1;PORTERO;Brasil;27;Getafe CF;DERECHA;190;0;5;0;0;1;10;5;1.0
Gastón Álvarez;4;DEFENSA;Uruguay;24;Getafe CF;IZQUIERDA;178;2;25;0;5;0;0;0;12.0
Luis Milla;5;CENTROCAMPISTA;España;30;Getafe CF;DERECHA;176;2;30;4;15;0;0;0;8.0
Jaime Mata;7;DELANTERO;España;36;Getafe CF;DERECHA;180;3;20;1;5;0;0;0;1.0
Juanmi Latasa;18;DELANTERO;España;23;Getafe CF;DERECHA;188;3;25;1;5;0;0;0;8.0
Mauro Arambarri;8;CENTROCAMPISTA;Uruguay;29;Getafe CF;DERECHA;175;0;10;1;3;0;0;0;5.0
Domingos Duarte;3;DEFENSA;Portugal;29;Getafe CF;DERECHA;190;1;20;0;3;0;0;0;4.0
Carles Aleñá;11;CENTROCAMPISTA;España;26;Getafe CF;IZQUIERDA;180;1;25;3;20;0;0;0;5.0
Mason Greenwood;12;DELANTERO;Inglaterra;27;Getafe CF;IZQUIERDA;181;10;35;6;60;0;0;0;25.0
Stefan Mitrović;15;DEFENSA;Serbia;34;Getafe CF;IZQUIERDA;189;0;15;0;2;0;0;0;1.0
Enes Ünal;10;DELANTERO;Turquía;27;Getafe CF;DERECHA;185;5;10;0;3;0;0;0;10.0
Ilaix Moriba;17;CENTROCAMPISTA;Guinea;21;Getafe CF;DERECHA;185;0;15;1;10;0;0;0;5.0
José Ángel Carmona;21;DEFENSA;España;22;Getafe CF;DERECHA;180;1;15;1;5;0;0;0;5.0
Óscar Rodríguez;24;CENTROCAMPISTA;España;26;Getafe CF;DERECHA;174;1;20;2;10;0;0;0;4.0
Juan Iglesias;22;DEFENSA;España;26;Getafe CF;DERECHA;178;0;25;2;10;0;0;0;5.0
Joan García;13;PORTERO;España;23;RCD Espanyol;DERECHA;189;0;30;0;0;15;90;25;4.0
Leandro Cabrera;4;DEFENSA;Uruguay;33;RCD Espanyol;IZQUIERDA;187;1;35;0;5;0;0;0;3.0
Keidi Bare;10;CENTROCAMPISTA;Albania;27;RCD Espanyol;DERECHA;178;2;30;1;10;0;0;0;4.0
Martin Braithwaite;22;DELANTERO;Dinamarca;33;RCD Espanyol;DERECHA;177;10;35;3;15;0;0;0;4.0
Fernando Calero;5;DEFENSA;España;29;RCD Espanyol;DERECHA;185;0;25;0;3;0;0;0;2.0
Pacheco;1;PORTERO;España;28;RCD Espanyol;DERECHA;188;0;8;0;0;3;20;8;1.0
Sergi Gómez;24;DEFENSA;España;32;RCD Espanyol;DERECHA;185;1;20;0;3;0;0;0;2.0
Pol Lozano;18;CENTROCAMPISTA;España;25;RCD Espanyol;DERECHA;181;0;25;2;10;0;0;0;3.0
Javi Puado;7;DELANTERO;España;26;RCD Espanyol;DERECHA;180;8;35;5;30;0;0;0;6.0
Salvi Sánchez;17;DELANTERO;España;33;RCD Espanyol;DERECHA;167;2;25;3;20;0;0;0;1.0
Edu Expósito;8;CENTROCAMPISTA;España;28;RCD Espanyol;DERECHA;175;3;30;5;25;0;0;0;4.0
Óscar Gil;2;DEFENSA;España;26;RCD Espanyol;DERECHA;177;0;30;2;10;0;0;0;3.0
José Gragera;21;CENTROCAMPISTA;España;24;RCD Espanyol;DERECHA;190;1;25;1;5;0;0;0;4.0
Nico Melamed;19;DELANTERO;España;23;RCD Espanyol;IZQUIERDA;178;4;30;3;35;0;0;0;5.0
Brian Oliván;14;DEFENSA;España;30;RCD Espanyol;IZQUIERDA;177;1;28;4;20;0;0;0;3.0
Pere Milla;23;DELANTERO;España;32;RCD Espanyol;DERECHA;181;5;25;2;10;0;0;0;2.0
Denis Suárez;6;CENTROCAMPISTA;España;30;RCD Espanyol;DERECHA;176;0;15;2;15;0;0;0;2.0
Rubén Sánchez;3;DEFENSA;España;23;RCD Espanyol;DERECHA;178;0;10;1;5;0;0;0;1.0
Landry Dimata;9;DELANTERO;Bélgica;27;RCD Espanyol;DERECHA;185;1;10;0;3;0;0;0;1.0
Víctor Ruiz;20;DEFENSA;España;35;RCD Espanyol;IZQUIERDA;185;0;5;0;1;0;0;0;0.5
Stole Dimitrievski;13;PORTERO;Macedonia del Norte;31;Rayo Vallecano;DERECHA;186;0;35;0;0;9;100;48;3.0
Florian Lejeune;24;DEFENSA;Francia;33;Rayo Vallecano;DERECHA;190;2;30;0;3;0;0;0;4.0
Óscar Valentín;6;CENTROCAMPISTA;España;30;Rayo Vallecano;DERECHA;176;1;35;2;10;0;0;0;5.0
Raúl de Tomás;11;DELANTERO;España;30;Rayo Vallecano;DERECHA;180;6;30;2;10;0;0;0;8.0
Aridane Hernández;2;DEFENSA;España;35;Rayo Vallecano;DERECHA;186;0;25;0;2;0;0;0;1.0
Dani Cárdenas;1;PORTERO;España;27;Rayo Vallecano;DERECHA;187;0;5;0;0;1;10;5;1.0
Andrei Rațiu;20;DEFENSA;Rumanía;26;Rayo Vallecano;DERECHA;177;1;25;2;15;0;0;0;4.0
Unai López;8;CENTROCAMPISTA;España;29;Rayo Vallecano;DERECHA;174;1;30;3;15;0;0;0;4.0
Isi Palazón;7;DELANTERO;España;30;Rayo Vallecano;IZQUIERDA;173;8;38;5;50;0;0;0;8.0
Sergio Camello;9;DELANTERO;España;23;Rayo Vallecano;DERECHA;177;3;30;2;15;0;0;0;5.0
Pacha Espino;12;DEFENSA;Uruguay;32;Rayo Vallecano;IZQUIERDA;176;0;30;3;10;0;0;0;2.0
Kike Pérez;14;CENTROCAMPISTA;España;27;Rayo Vallecano;DERECHA;180;1;25;1;5;0;0;0;3.0
