//IAG
Jornada,Fecha,Local,Visitante,GolesLocal,GolesVisitante
17,2025-12-05,RB Leipzig,Fortuna Düsseldorf,0,2
17,2025-12-05,Bayer Leverkusen,Holstein Kiel,2,1
17,2025-12-05,VfB Stuttgart,FC St. Pauli,2,2
17,2025-12-05,Eintracht Frankfurt,1. FC Köln,1,0
17,2025-12-05,1. FC Union Berlin,Borussia Mönchengladbach,0,3
17,2025-12-05,SC Freiburg,FC Augsburg,3,1
17,2025-12-05,TSG Hoffenheim,1. FC Heidenheim,3,2
17,2025-12-05,Werder Bremen,VfL Wolfsburg,0,0
35,2025-12-12,Fortuna Düsseldorf,FC Bayern München,0,3
35,2025-12-12,Holstein Kiel,Borussia Dortmund,2,3
35,2025-12-12,FC St. Pauli,RB Leipzig,3,0
35,2025-12-12,1. FC Köln,Bayer Leverkusen,0,0
35,2025-12-12,Borussia Mönchengladbach,VfB Stuttgart,2,3
35,2025-12-12,FC Augsburg,Eintracht Frankfurt,1,2
35,2025-12-12,1. FC Heidenheim,1. FC Union Berlin,0,3
35,2025-12-12,VfL Wolfsburg,SC Freiburg,3,4
35,2025-12-12,Werder Bremen,TSG Hoffenheim,3,3
36,2025-12-19,Holstein Kiel,FC Bayern München,0,3
36,2025-12-19,FC St. Pauli,Fortuna Düsseldorf,1,3
36,2025-12-19,1. FC Köln,Borussia Dortmund,3,3
36,2025-12-19,Borussia Mönchengladbach,RB Leipzig,3,1
36,2025-12-19,FC Augsburg,Bayer Leverkusen,2,0
36,2025-12-19,1. FC Heidenheim,VfB Stuttgart,3,3
36,2025-12-19,VfL Wolfsburg,Eintracht Frankfurt,0,3
36,2025-12-19,Werder Bremen,1. FC Union Berlin,1,1
36,2025-12-19,TSG Hoffenheim,SC Freiburg,2,0
37,2025-12-26,FC St. Pauli,FC Bayern München,1,3
37,2025-12-26,1. FC Köln,Holstein Kiel,1,3
37,2025-12-26,Borussia Mönchengladbach,Fortuna Düsseldorf,4,1
37,2025-12-26,FC Augsburg,Borussia Dortmund,2,1
37,2025-12-26,1. FC Heidenheim,RB Leipzig,4,1
37,2025-12-26,VfL Wolfsburg,Bayer Leverkusen,3,0
37,2025-12-26,Werder Bremen,VfB Stuttgart,4,0
37,2025-12-26,TSG Hoffenheim,Eintracht Frankfurt,4,1
37,2025-12-26,SC Freiburg,1. FC Union Berlin,0,1
38,2026-01-02,1. FC Köln,FC Bayern München,1,4
38,2026-01-02,Borussia Mönchengladbach,FC St. Pauli,2,1
38,2026-01-02,FC Augsburg,Holstein Kiel,1,2
38,2026-01-02,1. FC Heidenheim,Fortuna Düsseldorf,1,2
38,2026-01-02,VfL Wolfsburg,Borussia Dortmund,0,3
38,2026-01-02,Werder Bremen,RB Leipzig,1,2
38,2026-01-02,TSG Hoffenheim,Bayer Leverkusen,2,2
38,2026-01-02,SC Freiburg,VfB Stuttgart,1,0
38,2026-01-02,1. FC Union Berlin,Eintracht Frankfurt,2,1
39,2026-01-09,Borussia Mönchengladbach,FC Bayern München,0,2
39,2026-01-09,FC Augsburg,1. FC Köln,2,1
39,2026-01-09,1. FC Heidenheim,FC St. Pauli,1,1
39,2026-01-09,VfL Wolfsburg,Holstein Kiel,1,1
39,2026-01-09,Werder Bremen,Fortuna Düsseldorf,0,1
39,2026-01-09,TSG Hoffenheim,Borussia Dortmund,3,2
39,2026-01-09,SC Freiburg,RB Leipzig,3,2
39,2026-01-09,1. FC Union Berlin,Bayer Leverkusen,1,1
39,2026-01-09,Eintracht Frankfurt,VfB Stuttgart,0,1
40,2026-01-16,FC Augsburg,FC Bayern München,0,3
40,2026-01-16,1. FC Heidenheim,Borussia Mönchengladbach,2,1
40,2026-01-16,VfL Wolfsburg,1. FC Köln,1,0
40,2026-01-16,Werder Bremen,FC St. Pauli,1,3
40,2026-01-16,TSG Hoffenheim,Holstein Kiel,2,0
40,2026-01-16,SC Freiburg,Fortuna Düsseldorf,0,1
40,2026-01-16,1. FC Union Berlin,Borussia Dortmund,2,1
40,2026-01-16,Eintracht Frankfurt,RB Leipzig,3,2
40,2026-01-16,VfB Stuttgart,Bayer Leverkusen,2,0
41,2026-01-23,1. FC Heidenheim,FC Bayern München,0,3
41,2026-01-23,VfL Wolfsburg,FC Augsburg,0,1
41,2026-01-23,Werder Bremen,Borussia Mönchengladbach,3,0
41,2026-01-23,TSG Hoffenheim,1. FC Köln,1,2
41,2026-01-23,SC Freiburg,FC St. Pauli,0,2
41,2026-01-23,1. FC Union Berlin,Holstein Kiel,1,0
41,2026-01-23,Eintracht Frankfurt,Fortuna Düsseldorf,2,0
41,2026-01-23,VfB Stuttgart,Borussia Dortmund,2,2
41,2026-01-23,Bayer Leverkusen,RB Leipzig,0,1
42,2026-01-30,VfL Wolfsburg,FC Bayern München,0,3
42,2026-01-30,Werder Bremen,1. FC Heidenheim,1,0
42,2026-01-30,TSG Hoffenheim,FC Augsburg,0,3
42,2026-01-30,SC Freiburg,Borussia Mönchengladbach,1,3
42,2026-01-30,1. FC Union Berlin,1. FC Köln,2,4
42,2026-01-30,Eintracht Frankfurt,FC St. Pauli,2,4
42,2026-01-30,VfB Stuttgart,Holstein Kiel,3,2
42,2026-01-30,Bayer Leverkusen,Fortuna Düsseldorf,2,1
42,2026-01-30,RB Leipzig,Borussia Dortmund,3,1
43,2026-02-06,Werder Bremen,FC Bayern München,1,4
43,2026-02-06,TSG Hoffenheim,VfL Wolfsburg,1,1
43,2026-02-06,SC Freiburg,1. FC Heidenheim,0,2
43,2026-02-06,1. FC Union Berlin,FC Augsburg,2,1
43,2026-02-06,Eintracht Frankfurt,Borussia Mönchengladbach,2,1
43,2026-02-06,VfB Stuttgart,1. FC Köln,0,1
43,2026-02-06,Bayer Leverkusen,FC St. Pauli,1,1
43,2026-02-06,RB Leipzig,Holstein Kiel,1,0
43,2026-02-06,Borussia Dortmund,Fortuna Düsseldorf,0,2
44,2026-02-13,TSG Hoffenheim,FC Bayern München,0,2
44,2026-02-13,SC Freiburg,Werder Bremen,1,1
44,2026-02-13,1. FC Union Berlin,VfL Wolfsburg,1,0
44,2026-02-13,Eintracht Frankfurt,1. FC Heidenheim,1,3
44,2026-02-13,VfB Stuttgart,FC Augsburg,2,2
44,2026-02-13,Bayer Leverkusen,Borussia Mönchengladbach,3,2
44,2026-02-13,RB Leipzig,1. FC Köln,1,0
44,2026-02-13,Borussia Dortmund,FC St. Pauli,1,2
44,2026-02-13,Fortuna Düsseldorf,Holstein Kiel,3,4
45,2026-02-20,SC Freiburg,FC Bayern München,1,4
45,2026-02-20,1. FC Union Berlin,TSG Hoffenheim,1,2
45,2026-02-20,Eintracht Frankfurt,Werder Bremen,0,0
45,2026-02-20,VfB Stuttgart,VfL Wolfsburg,1,0
45,2026-02-20,Bayer Leverkusen,1. FC Heidenheim,1,2
45,2026-02-20,RB Leipzig,FC Augsburg,1,0
45,2026-02-20,Borussia Dortmund,Borussia Mönchengladbach,1,0
45,2026-02-20,Fortuna Düsseldorf,1. FC Köln,2,0
45,2026-02-20,Holstein Kiel,FC St. Pauli,1,2
46,2026-02-27,1. FC Union Berlin,FC Bayern München,1,3
46,2026-02-27,Eintracht Frankfurt,SC Freiburg,0,1
46,2026-02-27,VfB Stuttgart,TSG Hoffenheim,0,1
46,2026-02-27,Bayer Leverkusen,Werder Bremen,0,1
46,2026-02-27,RB Leipzig,VfL Wolfsburg,2,1
46,2026-02-27,Borussia Dortmund,1. FC Heidenheim,2,3
46,2026-02-27,Fortuna Düsseldorf,FC Augsburg,1,0
46,2026-02-27,Holstein Kiel,Borussia Mönchengladbach,0,1
46,2026-02-27,FC St. Pauli,1. FC Köln,4,1
47,2026-03-06,Eintracht Frankfurt,FC Bayern München,0,3
47,2026-03-06,VfB Stuttgart,1. FC Union Berlin,2,2
47,2026-03-06,Bayer Leverkusen,SC Freiburg,3,0
47,2026-03-06,RB Leipzig,TSG Hoffenheim,0,0
47,2026-03-06,Borussia Dortmund,Werder Bremen,0,2
47,2026-03-06,Fortuna Düsseldorf,VfL Wolfsburg,2,0
47,2026-03-06,Holstein Kiel,1. FC Heidenheim,2,2
47,2026-03-06,FC St. Pauli,FC Augsburg,0,2
47,2026-03-06,1. FC Köln,Borussia Mönchengladbach,2,0
48,2026-03-13,VfB Stuttgart,FC Bayern München,0,4
48,2026-03-13,Bayer Leverkusen,Eintracht Frankfurt,0,0
48,2026-03-13,RB Leipzig,1. FC Union Berlin,1,2
48,2026-03-13,Borussia Dortmund,SC Freiburg,4,1
48,2026-03-13,Fortuna Düsseldorf,TSG Hoffenheim,2,0
48,2026-03-13,Holstein Kiel,Werder Bremen,2,2
48,2026-03-13,FC St. Pauli,VfL Wolfsburg,0,2
48,2026-03-13,1. FC Köln,1. FC Heidenheim,3,2
48,2026-03-13,Borussia Mönchengladbach,FC Augsburg,0,4
49,2026-03-20,Bayer Leverkusen,FC Bayern München,0,2
49,2026-03-20,RB Leipzig,VfB Stuttgart,1,1
49,2026-03-20,Borussia Dortmund,Eintracht Frankfurt,1,1
49,2026-03-20,Fortuna Düsseldorf,1. FC Union Berlin,3,3
49,2026-03-20,Holstein Kiel,SC Freiburg,0,4
49,2026-03-20,FC St. Pauli,TSG Hoffenheim,2,3
49,2026-03-20,1. FC Köln,Werder Bremen,2,1
49,2026-03-20,Borussia Mönchengladbach,VfL Wolfsburg,2,4
49,2026-03-20,FC Augsburg,1. FC Heidenheim,1,3
50,2026-03-27,RB Leipzig,FC Bayern München,0,2
50,2026-03-27,Borussia Dortmund,Bayer Leverkusen,1,2
50,2026-03-27,Fortuna Düsseldorf,VfB Stuttgart,1,3
50,2026-03-27,Holstein Kiel,Eintracht Frankfurt,3,0
50,2026-03-27,FC St. Pauli,1. FC Union Berlin,3,0
50,2026-03-27,1. FC Köln,SC Freiburg,1,2
50,2026-03-27,Borussia Mönchengladbach,TSG Hoffenheim,1,0
50,2026-03-27,FC Augsburg,Werder Bremen,3,0
50,2026-03-27,1. FC Heidenheim,VfL Wolfsburg,0,2
51,2026-04-03,Borussia Dortmund,FC Bayern München,1,3
51,2026-04-03,Fortuna Düsseldorf,RB Leipzig,2,1
51,2026-04-03,Holstein Kiel,Bayer Leverkusen,0,3
51,2026-04-03,FC St. Pauli,VfB Stuttgart,0,2
51,2026-04-03,1. FC Köln,Eintracht Frankfurt,1,2
51,2026-04-03,Borussia Mönchengladbach,1. FC Union Berlin,2,2
51,2026-04-03,FC Augsburg,SC Freiburg,1,2
51,2026-04-03,1. FC Heidenheim,TSG Hoffenheim,0,0
51,2026-04-03,VfL Wolfsburg,Werder Bremen,2,1
